20 10

# Machine sequences
0 1 2 3 4 5 6 7 8 9
1 2 3 4 5 6 7 8 9 0
2 3 4 5 6 7 8 9 0 1
3 4 5 6 7 8 9 0 1 2
4 5 6 7 8 9 0 1 2 3
5 6 7 8 9 0 1 2 3 4
6 7 8 9 0 1 2 3 4 5
7 8 9 0 1 2 3 4 5 6
8 9 0 1 2 3 4 5 6 7
9 0 1 2 3 4 5 6 7 8
0 9 8 7 6 5 4 3 2 1
1 0 9 8 7 6 5 4 3 2
2 1 0 9 8 7 6 5 4 3
3 2 1 0 9 8 7 6 5 4
4 3 2 1 0 9 8 7 6 5
5 4 3 2 1 0 9 8 7 6
6 5 4 3 2 1 0 9 8 7
7 6 5 4 3 2 1 0 9 8
8 7 6 5 4 3 2 1 0 9
9 8 7 6 5 4 3 2 1 0

# Processing times
23 45 12 78 34 56 90 21 43 65
87 12 34 56 78 90 12 34 56 78
32 54 76 98 10 32 54 76 98 12
45 67 89 12 34 56 78 90 12 34
90 23 45 67 89 12 34 56 78 12
12 34 56 78 90 12 34 56 78 90
56 78 90 12 34 56 78 90 12 34
34 56 78 90 12 34 56 78 90 12
78 90 12 34 56 78 90 12 34 56
90 12 34 56 78 90 12 34 56 78
21 43 65 87 99 21 43 65 87 11
54 76 98 10 32 54 76 98 10 32
87 99 21 43 65 87 99 21 43 65
32 10 98 76 54 32 10 98 76 54
65 87 99 21 43 65 87 99 21 43
98 10 32 54 76 98 10 32 54 76
43 65 87 99 21 43 65 87 99 21
76 98 10 32 54 76 98 10 32 54
10 32 54 76 98 10 32 54 76 98
23 45 67 89 12 34 56 78 90 23

# Transport times
0 3 4 5 6 2 3 4 5 6
3 0 3 4 5 6 2 3 4 5
4 3 0 3 4 5 6 2 3 4
5 4 3 0 3 4 5 6 2 3
6 5 4 3 0 3 4 5 6 2
2 6 5 4 3 0 3 4 5 6
3 2 6 5 4 3 0 3 4 5
4 3 2 6 5 4 3 0 3 4
5 4 3 2 6 5 4 3 0 3
6 5 4 3 2 6 5 4 3 0
